Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
B0011020-01,Whiskeytown,Strangers Almanac,,https://i.scdn.co/image/ab67616d0000b273414ff484eaa3bd81333a4230,https://open.spotify.com/artist/0tyLMmQvEuyQR4qjGBdbem,https://open.spotify.com/album/29gnqAHOpVJJL3h8wPrlMl,,"Geffen Records, Outpost Recordings, Moodfood Records","2xLP, Album",,,1315068,Uncategorized,2018-10-23 03:43,,,,,,2/4/2024 6:56pm
SM-1870,Roy Acuff And His Smoky Mountain Boys,The Best Of Roy Acuff: Songs Of The Smoky Mountains,,https://i.scdn.co/image/ab67616d0000b273422c52954e0b836fbfc06b11,https://open.spotify.com/artist/7heUyuJw3gZftFZRa1rV6M,https://open.spotify.com/album/37wOjBhzeA4FAHWk6z7FsM,,Capitol Records,"LP, Comp, RE",,,949490,Uncategorized,2022-11-05 19:48,,,,,,2/4/2024 6:56pm
9E-303,Roy Acuff,Greatest Hits / Volume Two,,https://i.scdn.co/image/ab67616d0000b273422c52954e0b836fbfc06b11,https://open.spotify.com/artist/7heUyuJw3gZftFZRa1rV6M,https://open.spotify.com/album/37wOjBhzeA4FAHWk6z7FsM,,Elektra,"2xLP, Comp",,,5567274,Uncategorized,2022-11-05 19:54,,,,,,2/4/2024 6:52pm
815 239-1,Stan Getz,Stan The Man,,https://i.scdn.co/image/ab67616d0000b273430d4319ae0880ebf25490dc,"https://open.spotify.com/artist/5RzjqfPS0Bu4bUMkyNNDpn,https://open.spotify.com/artist/0FMucZsEnCxs5pqBjHjIc8,https://open.spotify.com/artist/0JM134st8VY7Ld9T2wQiH0,https://open.spotify.com/artist/23hRv3SqLMrj4i3b3tfUu4",https://open.spotify.com/album/0HDq1BCeQ0KHnBFzm6kTwR,,Verve Records,"2xLP, Comp",,,4231660,Uncategorized,2019-07-22 17:36,,,,,,2/4/2024 6:27pm
WIG-294,Villagers,{Awayland},,https://i.scdn.co/image/ab67616d0000b273436d803fa5f2c9504b9780a3,https://open.spotify.com/artist/2m1l9MLSslzup4vvokKgvQ,https://open.spotify.com/album/4lZBE5uyS5BGnJOJc88s95,,Domino,LP,5,,4604005,Uncategorized,2018-10-24 03:10,,,,,,2/4/2024 6:53pm
ARC-0001,Billy Strings,Turmoil & Tinfoil,,https://i.scdn.co/image/ab67616d0000b273449fb3a86f72b90e075f2629,https://open.spotify.com/artist/1ZN1c1qWEGZNX1pGeKCPpf,https://open.spotify.com/album/3CKP5G9f93RBbUi73HnyVC,,Apostol Recording Co.,"LP, Album",,,10956636,Bluegrass,2019-11-26 03:19,,,,,,2/4/2024 6:55pm
"MS 2042, MS-2042",The Mothers,Fillmore East - June 1971,,https://i.scdn.co/image/ab67616d0000b273453de3e78d1b7d7493ea2400,"https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/artist/6O2r6FHJL6hRJxBI5TUn0K",https://open.spotify.com/album/6TNlQWB8LytLztzjUyoxYx,,"Bizarre Records, Reprise Records","LP, Album, San",,,1770866,Uncategorized,2020-03-17 02:31,,,,,,2/4/2024 6:31pm
UA-LA835-H,Kenny Rogers,Ten Years Of Gold,,https://i.scdn.co/image/ab67616d0000b273467c4bc5d8d8fcc14260be23,https://open.spotify.com/artist/4tw2Lmn9tTPUv7Gy7mVPI4,https://open.spotify.com/album/3F2U1EogOtRUuiHoZ1sFrl,,United Artists Records,"LP, Album, Comp, RE",,,9995124,Uncategorized,2020-03-17 05:02,,,,,,2/4/2024 6:56pm
JAG308,Moses Sumney,Aromanticism,,https://i.scdn.co/image/ab67616d0000b273478d01e5e5b78a6791036e5f,https://open.spotify.com/artist/5W10uJRsbt9bROJDKoI1Wn,https://open.spotify.com/album/3GEa8PdRoag1vtVUQCAla1,,Jagjaguwar,"LP, Album, Club, Bla",,,10893509,Uncategorized,2018-10-21 22:01,,,,,,2/4/2024 6:26pm
PAX-AM 035,Ryan Adams,1984,,https://i.scdn.co/image/ab67616d0000b273536e8d127e6e6613971ddcde,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/0MVK1j7wrUkBZ09ZuMURJA,checked,Pax Americana Record Company,"7""",,,5996462,Uncategorized,2020-03-17 05:26,,,,,Ryan Adams,2/4/2024 6:48pm
599931-1,Sturgill Simpson,Sound & Fury,,https://i.scdn.co/image/ab67616d0000b273579cf5b56106f5dddfaae13b,https://open.spotify.com/artist/3vDpQbGnzRbRVirXlfQagB,https://open.spotify.com/album/2ITJBRqMwZ0luWBnnZQ4Hq,,Elektra,"LP, Album, 180",,,14196670,Uncategorized,2021-01-08 17:23,,,,,,2/4/2024 6:26pm
"PAX-AM 011, 509996 79344 1 6",Ryan Adams,Ashes & Fire,,https://i.scdn.co/image/ab67616d0000b273619dab27d3abe9c8592969f4,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/6embeY4aFzhjb25UbR8RU6,checked,"Pax Americana Record Company, Capitol Records","LP, Album + Flexi, 7"", S/Sided + Box, Ltd, Del",,,3191993,Uncategorized,2020-03-17 05:31,,,,,Ryan Adams,2/4/2024 6:47pm
"CAD 803, ROUGH US 38",Pixies,Surfer Rosa,,https://i.scdn.co/image/ab67616d0000b273626ad9bb7d5f84c59652b161,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT,https://open.spotify.com/album/50j4Wm1b9hLpSpPIA39Vp9,checked,"4AD, Rough Trade","LP, Album",1,,600129,Uncategorized,2018-10-24 02:56,,,,,,2/4/2024 6:53pm
"SMAS 11235, SMAS-11235",Steve Miller Band,The Joker,,https://i.scdn.co/image/ab67616d0000b273632b907273dba6a6062fb780,https://open.spotify.com/artist/6QtGlUje9TIkLrgPZrESuk,https://open.spotify.com/album/5hLazW5a3Ysgy3dncwGgUn,,"Capitol Records, Capitol Records","LP, Album, L.A",,,7666906,Uncategorized,2020-03-22 00:01,,,,,,2/4/2024 6:28pm
"SVLP 077, 475928 1",Jeff Buckley,Grace,,https://i.scdn.co/image/ab67616d0000b273796eddfdba31dc1a7b6df98e,https://open.spotify.com/artist/3nnQpaTvKb5jCQabZefACI,https://open.spotify.com/album/283hKbicgg933wSdd24U2s,,"Simply Vinyl, Columbia","LP, Album, Ltd, RE, RP, 180",,,749256,Uncategorized,2018-10-24 02:24,,,,,,2/4/2024 6:30pm
QC 38837,Billy Joel,An Innocent Man,,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7,https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e,https://open.spotify.com/album/3R3x4zIabsvpD3yxqLaUpc,,"Columbia, Family Productions","LP, Album, Car",,,822425,Uncategorized,2019-07-18 14:56,,,,,,2/4/2024 6:31pm
11661-36141-01,The Earls Of Leicester,The Earls Of Leicester,,https://i.scdn.co/image/ab67616d0000b273851edcf1f4cd64797b0472be,https://open.spotify.com/artist/7fFA5wvCHgJ4SIqCuIYFNm,https://open.spotify.com/album/4Fjxs1yrf4jsTbOohAZI7a,,Rounder Records,"LP, Album",,,6340097,Bluegrass,2018-10-21 19:37,,,,,,2/4/2024 6:28pm
GLS-0265-01,Phoenix,Wolfgang Amadeus Phoenix,,https://i.scdn.co/image/ab67616d0000b273869df273a6f34f759b426ace,https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU,https://open.spotify.com/album/0xG5b9nkWxKc5VTpo6Fq5I,checked,"Glassnote (2), Loyauté, Atlantic","LP, Album, Club, RE, RM, Pin",1,,13743682,Uncategorized,2019-07-17 16:39,,,,,,2/4/2024 6:51pm
"SRZ 2-1501, SRZ-2-1501",Frank Zappa,Sheik Yerbouti,,https://i.scdn.co/image/ab67616d0000b273885d9d53e458006a99de2642,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/4hBKoHOpEvQ6g4CQFsEAdU,checked,"Zappa Records, Zappa Records","2xLP, Album, Pit",,,1770862,Uncategorized,2020-03-17 02:02,,,,,Zappa,2/4/2024 6:49pm
SH-3711,Ricky Skaggs & Tony Rice,Skaggs & Rice,,https://i.scdn.co/image/ab67616d0000b273905a0410c30a46a2299bd7cb,"https://open.spotify.com/artist/0uNC9XuH437fKCCMuzvSks,https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr",https://open.spotify.com/album/3k3McOuSsvKIYfwTFAqB7m,,Sugar Hill Records (2),"LP, Album",,,1801417,Bluegrass,2019-11-26 03:18,,,,,,2/4/2024 6:49pm
GEN LP1,Genesis,Genesis,,https://i.scdn.co/image/ab67616d0000b273945c366eda66495226e4a46d,https://open.spotify.com/artist/3CkvROUTQ6nRi9yQOcsB50,https://open.spotify.com/album/6BX8AS7J97PSQNrteX325Z,,"Charisma, Virgin","LP, Album",,,667372,Uncategorized,2020-03-17 04:38,,,,,,2/4/2024 6:29pm
"RCV1 628771, 081227907341",Stevie Nicks,Bella Donna,,https://i.scdn.co/image/ab67616d0000b273949a37d23be43be1e9c6c4cd,https://open.spotify.com/artist/3s75SZimhNZAeIlneX4qHt,https://open.spotify.com/album/0DERRNnV6V4DqfDdE6zUXC,,"Modern Records, Modern Records, ATCO Records, ATCO Records","LP, Album, Club, RE, RM, Blu",,,15282815,Uncategorized,2020-11-16 03:32,,,,,,2/4/2024 6:43pm
88875199831,Fugees,The Score,,https://i.scdn.co/image/ab67616d0000b273970c54109c747d26b56636eb,"https://open.spotify.com/artist/2WKdxPFRD7IqZvlIAvhMgY,https://open.spotify.com/artist/2Mu5NfyYm8n5iTomuKAEHl,https://open.spotify.com/artist/7aBzpmFXB4WWpPl2F7RjBe",https://open.spotify.com/album/4z6F5s3RVaOsekuaegbLfD,,"Ruffhouse Records, Columbia, Sony Music Commercial Music Group","2xLP, Album, RE, Gol + 7"", Gol + Club",,,8379739,Uncategorized,2019-07-24 16:42,,,,,,2/4/2024 6:53pm
538689100,Béla Fleck,My Bluegrass Heart,,https://i.scdn.co/image/ab67616d0000b273980acfa9fced7fb4fa2d22f5,https://open.spotify.com/artist/2ka8z2lwkcp13fG8Wyv3xU,https://open.spotify.com/album/1vO0hRLuOKXKHrMbDBlJjc,,Renew Records (2),"2xLP, Album",,,20449936,Uncategorized,2022-11-05 20:25,,,,,,2/4/2024 6:28pm
UAS-5535,Don McLean,American Pie ,,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb,https://open.spotify.com/artist/1gRNBaI4yn6wCCTvRhGWh8,https://open.spotify.com/album/10jsW2NYd9blCrDITMh2zS,,United Artists Records,"LP, Album, Pit",,,11017925,Uncategorized,2020-03-17 04:18,,,,,,2/4/2024 6:53pm
PTSN-008LP,Deer Tick,The Black Dirt Sessions,,https://i.scdn.co/image/ab67616d0000b2731738a1690189ac11d514f55c,https://open.spotify.com/artist/3rT8xTwSOMDURtWpPyoKIO,https://open.spotify.com/album/7un6ilrjxO0KfVGj4mz0H2,checked,Partisan Records,"LP, Album",,,2376882,Uncategorized,2018-10-23 03:34,,,,,,2/4/2024 6:42pm
REB-LP-1549,Tony Rice,California Autumn,,https://i.scdn.co/image/ab67616d0000b2732235d922696ac94a8777b788,https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr,https://open.spotify.com/album/2DbT0k8BFXLzvH4XOtTCzq,,Rebel Records (3),"LP, RE, RM",,,22211842,Uncategorized,2022-11-05 19:46,,,,,,2/4/2024 6:52pm
88875100511,OutKast,Stankonia,,https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166,https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7,https://open.spotify.com/album/2tm3Ht61kqqRZtIYsBjxEj,,"LaFace Records, Arista, Sony Music Commercial Music Group","2xLP, Album, Club, RE, RM, Gra",,,16030220,Uncategorized,2020-11-16 03:33,,,,,,2/4/2024 6:48pm
CGO 053,Kings Of Leon,Only By The Night,,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8,https://open.spotify.com/artist/2qk9voo8llSGYcZ6xrBzKx,https://open.spotify.com/album/5CZR6ljD0x9fTiS4mh9wMp,,The Control Group,"2xLP, Album, 180",,,1566490,Uncategorized,2018-10-23 03:36,,,,,,2/4/2024 6:52pm
Rounder CD 0140,"Bluegrass Album Band - J.D. Crowe, Tony Rice, Doyle Lawson, Bobby Hicks, Todd Phillips","The Bluegrass Album, Volume One",,https://i.scdn.co/image/ab67616d0000b2732688cbd6c2c5f01d0631958d,https://open.spotify.com/artist/6gfqvidGxCJgbqSaserlkF,https://open.spotify.com/album/6iS2QzCn3kIo4aOZMyxTpi,,Rounder Records,"CD, Album, RE",,,11929862,Uncategorized,2021-01-06 04:33,,,,,,2/4/2024 6:55pm
D002995401,Queen,A Night At The Opera,,https://i.scdn.co/image/ab67616d0000b2733025a441495664948b809537,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,https://open.spotify.com/album/7HVoV2lgVsmuiHsjbbUJB4,,Hollywood Records,"LP, Album, Club, M/Print, RE, RM, Mul",,,13314937,Uncategorized,2019-07-17 16:40,,,,,,2/4/2024 6:30pm
"K 69204, 2D 2290",Frank Zappa,Zappa In New York,,https://i.scdn.co/image/ab67616d0000b2733314d53a843585fab2fb7ce2,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/314RKua1JQwMfZOKD3pUXV,checked,"Discreet, Discreet","2xLP, Album, Unc",,,3733966,Uncategorized,2020-03-17 02:21,,,,,Zappa,2/4/2024 6:43pm
88697210801,Margot & The Nuclear So And So's,Not Animal,,https://i.scdn.co/image/ab67616d0000b2733365b7ae7c208abc36ede955,https://open.spotify.com/artist/4fw9oPmbbmHW5aAJpkJdlI,https://open.spotify.com/album/0am24qfT1RsxWY2bxhcrJB,,Epic,2xLP,,,3972650,Uncategorized,2018-10-23 04:29,,,,,,2/4/2024 6:30pm
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,,https://i.scdn.co/image/ab67616d0000b2733818b4c636e2a7fdea3bf965,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/album/5GRnydamKvIeG46dycID6v,,"Sub Pop, Sub Pop","LP, Album + 12"", EP + Gat",,,1359927,Uncategorized,2018-10-24 02:59,,,,,,2/4/2024 6:26pm
LP-YEP-2387,Chatham County Line,Tightrope,,https://i.scdn.co/image/ab67616d0000b2734097f7b633208d7abdbe685d,https://open.spotify.com/artist/3M2LPcqyD4PxbOFvtF05R7,https://open.spotify.com/album/34pwlyLkWf6JNQTTpaWRBA,,Yep Roc Records,"LP, 180 + CD, Album",,,6334200,Bluegrass,2018-10-21 19:39,,,,,,2/4/2024 6:31pm
UAS 9956,Frank Zappa,200 Motels,,https://i.scdn.co/image/ab67616d0000b2735822de04ec3c613982fac0fb,"https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/artist/6O2r6FHJL6hRJxBI5TUn0K",https://open.spotify.com/album/1zFiG1uo02WIsfN2sFr17I,checked,United Artists Records,"2xLP, Album, Gat",,,545054,Uncategorized,2020-03-17 02:56,,,,,Zappa,2/4/2024 6:48pm
"JC 34811, 34811",James Taylor (2),JT,,https://i.scdn.co/image/ab67616d0000b2735965e1d70e919f2259c1dc90,https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,https://open.spotify.com/album/0Pbc9Jq12a47mQ1z9yIuhn,,"Columbia, Columbia","LP, Album, Gat",,,701095,Uncategorized,2020-03-17 04:19,,,,,,2/4/2024 6:31pm
1166100580,Sierra Hull,25 Trips,,https://i.scdn.co/image/ab67616d0000b2735972c603a95b1d4483546632,https://open.spotify.com/artist/0JGGxsAD1Eg4X9AcKNcxEB,https://open.spotify.com/album/5MW8vgKSki8FkuzIeEbDjG,,Rounder Records,"LP, Album",,,14867401,Bluegrass,2020-11-16 03:33,,,,,,2/4/2024 6:43pm
ST 74205,Frank Zappa,Jazz From Hell,,https://i.scdn.co/image/ab67616d0000b2736428e050e0a939a63891978f,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/1MqpbO67sGvB8ZbfnhAHrr,checked,Barking Pumpkin Records,"LP, Album, All",,,233102,Uncategorized,2020-03-17 02:40,,,,,Zappa,2/4/2024 6:48pm
YT171,Kamasi Washington,Harmony Of Difference,,https://i.scdn.co/image/ab67616d0000b2736557cb7e6f93b45f22ecc0cc,https://open.spotify.com/artist/6HQYnRM4OzToCYPpVBInuU,https://open.spotify.com/album/0mf2hphtGvSxnOit7Uy2aB,,Young Turks,"12"", EP",,,11402738,Uncategorized,2018-10-21 20:05,,,,,,2/4/2024 6:56pm
MCA2-8004,Sonny & Cher,Live In Las Vegas Vol.2,,https://i.scdn.co/image/ab67616d0000b2736823f5ab3f87b902c35ef56b,https://open.spotify.com/artist/71lGEtP9qYXDsSXjfexTqO,https://open.spotify.com/album/4VFnAIRrYMA3iEHpjNP5cH,checked,MCA Records,"2xLP, Album",,,3084219,Uncategorized,2020-03-17 04:15,,,,,,2/4/2024 6:42pm
NFL1-8058,Bruce Hornsby And The Range,The Way It Is,,https://i.scdn.co/image/ab67616d0000b2737177ee0da04acc46e0da38b4,https://open.spotify.com/artist/5UloVKzUNJcjORzhhTWWiJ,https://open.spotify.com/album/6F1fswSqzC5lkXI56jnnjY,,RCA Victor,"LP, Album, Ind",,,2811531,Uncategorized,2019-07-16 17:59,,,,,,2/4/2024 6:28pm
521477-1,Jay Farrar & Ben Gibbard,One Fast Move Or I'm Gone: Music From Kerouac's Big Sur,,https://i.scdn.co/image/ab67616d0000b2738007b5a777bb696cba02cd3e,"https://open.spotify.com/artist/4tPRMBm25eaPJaceUBPqTK,https://open.spotify.com/artist/4CvZd3qzC2HbLxAoAEBRIL",https://open.spotify.com/album/3Lki97wGb11VOTrjCEAgCj,checked,"Atlantic, F-Stop Music","LP, Album + DVD-V, NTSC, All",,,2023905,Uncategorized,2018-10-23 04:11,,,,,,2/4/2024 6:49pm
B0012195-01,Ryan Adams & The Cardinals,Cardinology,,https://i.scdn.co/image/ab67616d0000b2738453fb487a83469a1b8aa454,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/3fAOT6lWvmiLG3xcRm5bGX,checked,Lost Highway,"LP, Album, Red + 7"" + Ltd",,,1530184,Uncategorized,2018-10-23 04:02,,,,,Ryan Adams,2/4/2024 6:47pm
73687,The Statler Brothers,I'll Go To My Grave Loving You / You've Been Like A Mother To Me,,https://i.scdn.co/image/ab67616d0000b2738741d44e598444f80a209163,https://open.spotify.com/artist/5PSWc8Y94zFsAtZlTe7ipI,https://open.spotify.com/album/2M3di3rjFjvlJL4k7IzFkY,,Mercury,"7""",,,2204215,Uncategorized,2020-03-17 05:17,,,,,,2/4/2024 6:31pm
B0022816-01 ,Kacey Musgraves,Pageant Material,,https://i.scdn.co/image/ab67616d0000b27300505d736b7a5bdd7a4a29e4,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,https://open.spotify.com/album/5xxKrpAO6Toq1KmopQ4tox,,Mercury Nashville,"LP, Album, Pin",,,7221618,Uncategorized,2018-10-21 21:23,,,,,,2/4/2024 6:29pm
"ATO0177, 88088218351, none",Jim James,Regions Of Light And Sound Of God,,https://i.scdn.co/image/ab67616d0000b27303556e995253b5371a1a1c64,https://open.spotify.com/artist/1MhtYlJvUqfd2EgHSQTGK4,https://open.spotify.com/album/3p3Lsrxgy8EX4oF8PQT8J6,checked,"ATO Records, ATO Records, Removador Recordings And Solutions","LP, Album",1,,4263087,Uncategorized,2018-10-24 02:57,,,,,,2/4/2024 6:47pm
88843 05455 1,Ray Lamontagne,Supernova,,https://i.scdn.co/image/ab67616d0000b27303752d238b3a8862246193df,https://open.spotify.com/artist/6DoH7ywD5BcQvjloe9OcIj,https://open.spotify.com/album/7uDlfwN1xFTRvTffXYPHM9,,RCA,"LP, 180",,,5649328,Uncategorized,2018-10-21 20:12,,,,,,2/4/2024 6:43pm
88697-65086-1,Ray LaMontagne And The Pariah Dogs,God Willin' & The Creek Don't Rise,,https://i.scdn.co/image/ab67616d0000b27303752d238b3a8862246193df,https://open.spotify.com/artist/6DoH7ywD5BcQvjloe9OcIj,https://open.spotify.com/album/7uDlfwN1xFTRvTffXYPHM9,,RCA,"2xLP, Album",,,2397791,Uncategorized,2018-10-21 20:13,,,,,,2/4/2024 6:49pm
B0018029-01,Kacey Musgraves,Same Trailer Different Park,,https://i.scdn.co/image/ab67616d0000b27327276e651476643cd5c10e71,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,https://open.spotify.com/album/6IGpQUt0KNi5rBUXZZOFI6,,Mercury,"LP, Album",,,4486131,Uncategorized,2018-10-21 21:22,,,,,,2/4/2024 6:30pm
0144,Norman Blake (2) And Rising Fawn String Ensemble,Full Moon On The Farm,,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,https://open.spotify.com/album/5d71Imt5CIb7LpQwDMQ093,,Rounder Records,"LP, Album, Wak",,,2294586,Uncategorized,2022-11-05 19:53,,,,,,2/4/2024 6:49pm
IL 2034,BadBadNotGood,IV,,https://i.scdn.co/image/ab67616d0000b27340080ed5a2ec3c92bf445247,https://open.spotify.com/artist/65dGLGjkw3UbddUg2GKQoZ,https://open.spotify.com/album/5wAGlQICfKYQfaBppnUbmP,,Innovative Leisure Records,"2xLP, Album, Club, Mag",,,8753882,Uncategorized,2018-10-21 20:53,,,,,,2/4/2024 6:30pm
B0004343-01,Ryan Adams & The Cardinals,Cold Roses,,https://i.scdn.co/image/ab67616d0000b27358072c9cb37a6c5a19c2018d,https://open.spotify.com/artist/5GHv1pBOWOQxIE6WQBq88Q,https://open.spotify.com/album/63qYQ08ZyLzmLguRJ90boF,checked,Lost Highway,"2xLP, Album",,,1208938,Uncategorized,2018-10-23 04:05,,,,,Ryan Adams,2/4/2024 6:48pm
umN2F107,Umphrey's McGee,Safety In Numbers,,https://i.scdn.co/image/ab67616d0000b27391443b5cf8f3e557b79f8b2a,https://open.spotify.com/artist/7mQilAy42MqNPqUFqK4Z0o,https://open.spotify.com/album/1yQ0cb98dIuiEN7wMK3DKk,checked,"Nothing Too Fancy Music, Hanging Brains Music","2xLP, Album, RE, RM, 180",5,,8277829,Uncategorized,2018-10-21 22:31,,,,,,2/4/2024 6:48pm
CSDLP 1115,Ryan Adams,Heartbreaker,,https://i.scdn.co/image/ab67616d0000b27391508ee76f9bb5f0590971a6,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/7hmZCaBzp6mVrelxW6Ckrn,checked,"Cobraside Distribution Inc., Bloodshot Records","2xLP, Album, TP",,,9451556,Uncategorized,2018-10-23 03:57,,,,,Ryan Adams,2/4/2024 6:49pm
"PAX-AM 056, 1790025445, 0600753642917",Ryan Adams,Heartbreaker,,https://i.scdn.co/image/ab67616d0000b27391508ee76f9bb5f0590971a6,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/7hmZCaBzp6mVrelxW6Ckrn,checked,"Pax Americana Record Company, Pax Americana Record Company, Pax Americana Record Company","4xLP, Dlx, RE + DVD-V + Box, Dlx",,,8481373,Uncategorized,2020-03-17 17:17,,,,,Ryan Adams,2/4/2024 6:47pm
"PAX-AM057, B002410001",Ryan Adams,1989,,https://i.scdn.co/image/ab67616d0000b27391508ee76f9bb5f0590971a6,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/7hmZCaBzp6mVrelxW6Ckrn,checked,"Pax Americana Record Company, Blue Note","2xLP, Album",,,7831705,Uncategorized,2018-10-21 22:13,,,,,Ryan Adams,2/4/2024 6:51pm
"088 170 235-1, 088 170 299-1, 088 170 300-1",Ryan Adams,Gold,,https://i.scdn.co/image/ab67616d0000b27391508ee76f9bb5f0590971a6,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/7hmZCaBzp6mVrelxW6Ckrn,checked,"Lost Highway, Lost Highway, Lost Highway","2xLP, Album, RP, Uni",,,5069614,Uncategorized,2018-10-21 22:27,,,,,Ryan Adams,2/4/2024 6:42pm
LOO-979,Kenny Rogers,Kenny,,https://i.scdn.co/image/ab67616d0000b27392089ddbc4ebd1f4d7e85bdb,https://open.spotify.com/artist/4tw2Lmn9tTPUv7Gy7mVPI4,https://open.spotify.com/album/3dJ7K3zS6Ux7OFAWcG8eWI,,United Artists Records,"LP, Album, All",,,10369190,Uncategorized,2020-03-17 05:05,,,,,,2/4/2024 6:44pm
703108442901,Pink Floyd,Dark Side Of The Moon,,https://i.scdn.co/image/ab67616d0000b27394731b7663cb4ba416da64a2,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,https://open.spotify.com/album/6SDPwUC74HcxwB84kPs4pM,,Not On Label (Pink Floyd),"LP, Album, Ltd, Pic, Unofficial",,,940923,Uncategorized,2019-07-16 18:29,,,,,,2/4/2024 6:48pm
"PAX-AM 046, 1790022529",Ryan Adams,Burn In The Night,,https://i.scdn.co/image/ab67616d0000b27395568b77b7e8bb024be364fc,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/0wFmWHHUjtDEBVaVGtPqjy,checked,"Pax Americana Record Company, Pax Americana Record Company","7"", Single, Ltd",,,7145380,Uncategorized,2020-03-17 05:19,,,,,Ryan Adams,2/4/2024 6:48pm
WEBB222LP,First Aid Kit,The Big Black & The Blue,,https://i.scdn.co/image/ab67616d0000b273014080fe396502cea4351ad7,https://open.spotify.com/artist/21egYD1eInY6bGFcniCRT1,https://open.spotify.com/album/1uckQCJ7h9TO1h5zrbnX26,,Wichita,"LP, Album",,,2161897,Uncategorized,2018-10-21 21:15,,,,,,2/4/2024 6:49pm
"AA-1006, AB-1006",Steely Dan,Aja,,https://i.scdn.co/image/ab67616d0000b273120746a40f65d11c2ac29647,https://open.spotify.com/artist/6P7H3ai06vU1sGvdpBwDmE,https://open.spotify.com/album/4XfN871nBIz6obaUDEzZXm,,"ABC Records, ABC Records","LP, Album, Club, RCA",,,4369391,Uncategorized,2019-07-22 16:04,,,,,,2/4/2024 6:30pm
TMR-032,The White Stripes,De Stijl,,https://i.scdn.co/image/ab67616d0000b273185038e768091a37433ae209,"https://open.spotify.com/artist/4F84IBURUo98rz4r61KF70,https://open.spotify.com/artist/4FZ3j1oH43e7cukCALsCwf",https://open.spotify.com/album/3jqKVacx9hnu47kCAG55T3,,Third Man Records,"LP, Album, Club, RE, RM, Red",,,15586402,Uncategorized,2020-11-16 03:30,,,,,,2/4/2024 6:48pm
PAX-AM008-01,Ryan Adams & The Cardinals,III/IV,,https://i.scdn.co/image/ab67616d0000b273279630bc4b166efe1c7bf562,https://open.spotify.com/artist/5GHv1pBOWOQxIE6WQBq88Q,https://open.spotify.com/album/5ZkPAOsEg0G1JkWvjUC6X1,checked,Pax Americana Record Company,"LP, Red + LP, Blu + Album, Gat",,,2597222,Uncategorized,2018-10-23 03:52,,,,,Ryan Adams,2/4/2024 6:49pm
88765404091,Incubus,Make Yourself,,https://i.scdn.co/image/ab67616d0000b273289320ef78f164a472698926,https://open.spotify.com/artist/3YcBF2ttyueytpXtEzn1Za,https://open.spotify.com/album/1rQZbncicoXyB64DqoH7OY,,"Epic, Immortal Records (3), Legacy","2xLP, Album, RE, 180",,,10008877,Uncategorized,2018-10-21 22:38,,,,,,2/4/2024 6:53pm
