Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
B0015435-01,Whiskeytown,Pneumonia,,https://i.scdn.co/image/ab67616d0000b27346aed08cd71c88eafa8d9343,https://open.spotify.com/artist/0tyLMmQvEuyQR4qjGBdbem,https://open.spotify.com/album/4QqOhtgvAmbRzgWLL65Wdv,,Lost Highway,"2xLP, Album, Ltd, Cle",,,2823537,Uncategorized,2018-10-23 03:45,,,,,,2/4/2024 6:31pm
"88697 35099 1, B0018223-01",The Avett Brothers,I And Love And You,,https://i.scdn.co/image/ab67616d0000b27348d5947c976c243542c25e21,https://open.spotify.com/artist/196lKsA13K3keVXMDFK66q,https://open.spotify.com/album/2PPFtYUnnqMYflIEn3b7ON,,"American Recordings, American Recordings","2xLP, Album",5,,1963341,Uncategorized,2018-10-24 02:52,$19.99,$35.00,$43.48,,,2/4/2024 6:29pm
B0029729-01,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,,"Darkroom (4), Interscope Records","LP, Album, Pal",,,13421102,Uncategorized,2019-07-11 22:18,,,,,,2/4/2024 6:27pm
DP-90002,Various,Urban Cowboy (Original Motion Picture Soundtrack),,https://i.scdn.co/image/ab67616d0000b27351ccb6e149f24e0f01c231ff,https://open.spotify.com/artist/2KzsvQpIXnQCEyvSS53h5W,https://open.spotify.com/album/5y29ApyOJPaN6dbfZ5G2cP,,"Asylum Records, Full Moon","2xLP, Album, Comp, CTH",,,2009521,Uncategorized,2019-07-19 15:54,,,,,,2/4/2024 6:56pm
1166100426,The Earls Of Leicester,Live At The CMA Theater In The Country Music Hall Of Fame ,,https://i.scdn.co/image/ab67616d0000b27351d26f67941b29b86377a1cc,https://open.spotify.com/artist/7fFA5wvCHgJ4SIqCuIYFNm,https://open.spotify.com/album/2mzSAxDSMwyWtrH1MisKT5,,Rounder Records,"2xLP, Album",,,12708939,Bluegrass,2019-07-23 20:51,,,,,,2/4/2024 6:52pm
0016,Vassar Clements,Crossing The Catskills,,https://i.scdn.co/image/ab67616d0000b27353c21cf13634deb42a9ecfd9,https://open.spotify.com/artist/3kRUvBTtkaTGxDczyLC4fU,https://open.spotify.com/album/1pvoXT7Hoon5BGd7OlJsLQ,,Rounder Records,"LP, Album, Wak",,,3011933,Uncategorized,2022-12-01 20:10,,,,,,2/4/2024 6:30pm
88765405201,Incubus,S.C.I.E.N.C.E.,,https://i.scdn.co/image/ab67616d0000b27355e734bb400d8c827700541b,https://open.spotify.com/artist/3YcBF2ttyueytpXtEzn1Za,https://open.spotify.com/album/0XC5hMpEFLDSuRxc5bVtIZ,,"Epic, Immortal Records (3), Legacy","2xLP, Album, RE, 180",,,4228020,Uncategorized,2018-10-23 03:42,,,,,,2/4/2024 6:48pm
BSK 3010,Fleetwood Mac,Rumours,,https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X,https://open.spotify.com/album/1bt6q2SruMsBtcerNVtpZB,,Warner Bros. Records,"LP, Album, Jac",,,8626822,Uncategorized,2020-03-17 04:39,,,,,,2/4/2024 6:52pm
0888072033498,Lukas Nelson,Lukas Nelson & Promise Of The Real,,https://i.scdn.co/image/ab67616d0000b27358d584fcbb932448ccf43ae9,https://open.spotify.com/artist/5iXYJYmMcjlTFL1qA8UfgY,https://open.spotify.com/album/7FRf2pzChLAhYLWL55hmlH,,Fantasy,"2xLP, Album",,,10859116,Uncategorized,2018-10-21 20:44,,,,,,2/4/2024 6:43pm
SP935,Fruit Bats,Tripper,,https://i.scdn.co/image/ab67616d0000b27358f91a538d797896313b85ed,https://open.spotify.com/artist/6Qm9stX6XO1a4c7BXQDDgc,https://open.spotify.com/album/1T3Cs0BLSZbyk0G62lvPtD,,Sub Pop,"LP, Album",,,3037777,Uncategorized,2018-10-24 03:08,,,,,,2/4/2024 6:53pm
